feature,importance
A20,0.04332091339513309
A26,0.039753615737725706
A5,0.03933380242005616
A18,0.03787953076426662
A30,0.0378396485943095
A32,0.03772442000733758
A24,0.03660194953067041
A2,0.03628857615317791
A6,0.03586572588024626
A3,0.03490606828525574
A31,0.03415669006587855
A38,0.03322821510039231
A7,0.032121163511610415
A1,0.03132063477195205
A11,0.03065078034870214
A22,0.030036426314963473
A10,0.029016290850561073
A33,0.02772555543512548
A36,0.026797181364425902
A4,0.025829680911599637
A8,0.022668865333617862
A27,0.0226374442643879
A0,0.02101462825763428
A17,0.02085732453538731
A35,0.018847806382317984
A37,0.018361327983509222
A23,0.017913099242897447
A12,0.01777450543444558
A14,0.01701451720634926
A28,0.01594244187260618
A19,0.01578644665746133
A25,0.015373703022455023
A13,0.015343429273173637
A9,0.014852026965392826
A15,0.01437346908982674
A29,0.013791455343904772
A34,0.013688050871068391
A16,0.011879177545663344
A21,0.011483411274510937
